scaled,threads,problem_size,buckets,time
scaled,1,1000000,10,0.425931
unscaled,1,1000000,10,0.435951
scaled,2,2000000,10,0.697035
unscaled,2,1000000,10,0.343470
scaled,3,3000000,10,1.338434
unscaled,3,1000000,10,0.441706
scaled,4,4000000,10,1.674105
unscaled,4,1000000,10,0.408652
scaled,5,5000000,10,1.996094
unscaled,5,1000000,10,0.370802
scaled,6,6000000,10,2.312469
unscaled,6,1000000,10,0.382368
scaled,7,7000000,10,2.444715
unscaled,7,1000000,10,0.351724
scaled,8,8000000,10,2.893604
unscaled,8,1000000,10,0.341358
scaled,9,9000000,10,3.012706
unscaled,9,1000000,10,0.334839
scaled,10,10000000,10,3.693707
unscaled,10,1000000,10,0.361848
scaled,11,11000000,10,4.158508
unscaled,11,1000000,10,0.374512
scaled,12,12000000,10,4.751867
unscaled,12,1000000,10,0.398512
scaled,1,1000000,100,0.372397
unscaled,1,1000000,100,0.379504
scaled,2,2000000,100,0.606763
unscaled,2,1000000,100,0.285234
scaled,3,3000000,100,0.698864
unscaled,3,1000000,100,0.226840
scaled,4,4000000,100,0.897824
unscaled,4,1000000,100,0.204569
scaled,5,5000000,100,1.027627
unscaled,5,1000000,100,0.190532
scaled,6,6000000,100,1.124398
unscaled,6,1000000,100,0.195888
scaled,7,7000000,100,1.344613
unscaled,7,1000000,100,0.189154
scaled,8,8000000,100,1.503933
unscaled,8,1000000,100,0.187984
scaled,9,9000000,100,1.589799
unscaled,9,1000000,100,0.257707
scaled,10,10000000,100,2.442970
unscaled,10,1000000,100,0.261017
scaled,11,11000000,100,2.762644
unscaled,11,1000000,100,0.246215
scaled,12,12000000,100,2.924639
unscaled,12,1000000,100,0.237368
scaled,1,1000000,1000,0.325909
unscaled,1,1000000,1000,0.341436
scaled,2,2000000,1000,0.521032
unscaled,2,1000000,1000,0.261972
scaled,3,3000000,1000,0.682804
unscaled,3,1000000,1000,0.203993
scaled,4,4000000,1000,0.762330
unscaled,4,1000000,1000,0.179507
scaled,5,5000000,1000,0.858175
unscaled,5,1000000,1000,0.174652
scaled,6,6000000,1000,0.960941
unscaled,6,1000000,1000,0.152306
scaled,7,7000000,1000,1.046120
unscaled,7,1000000,1000,0.139164
scaled,8,8000000,1000,1.150612
unscaled,8,1000000,1000,0.135621
scaled,9,9000000,1000,1.180881
unscaled,9,1000000,1000,0.124420
scaled,10,10000000,1000,1.350914
unscaled,10,1000000,1000,0.124212
scaled,11,11000000,1000,1.360771
unscaled,11,1000000,1000,0.120085
scaled,12,12000000,1000,1.840407
unscaled,12,1000000,1000,0.193283
scaled,1,1000000,10000,0.318847
unscaled,1,1000000,10000,0.314079
scaled,2,2000000,10000,0.499334
unscaled,2,1000000,10000,0.251859
scaled,3,3000000,10000,0.559952
unscaled,3,1000000,10000,0.192248
scaled,4,4000000,10000,0.651355
unscaled,4,1000000,10000,0.155702
scaled,5,5000000,10000,0.752218
unscaled,5,1000000,10000,0.146924
scaled,6,6000000,10000,0.839298
unscaled,6,1000000,10000,0.154699
scaled,7,7000000,10000,0.983470
unscaled,7,1000000,10000,0.119276
scaled,8,8000000,10000,1.054386
unscaled,8,1000000,10000,0.123873
scaled,9,9000000,10000,1.101191
unscaled,9,1000000,10000,0.113351
scaled,10,10000000,10000,1.178693
unscaled,10,1000000,10000,0.184365
scaled,11,11000000,10000,1.964845
unscaled,11,1000000,10000,0.179163
scaled,12,12000000,10000,2.188603
unscaled,12,1000000,10000,0.176238
scaled,1,1000000,100000,0.285142
unscaled,1,1000000,100000,0.281132
scaled,2,2000000,100000,0.484291
unscaled,2,1000000,100000,0.238885
scaled,3,3000000,100000,0.542338
unscaled,3,1000000,100000,0.183875
scaled,4,4000000,100000,0.637760
unscaled,4,1000000,100000,0.157299
scaled,5,5000000,100000,0.768709
unscaled,5,1000000,100000,0.143383
scaled,6,6000000,100000,0.756475
unscaled,6,1000000,100000,0.128478
scaled,7,7000000,100000,0.897534
unscaled,7,1000000,100000,0.125998
scaled,8,8000000,100000,0.943649
unscaled,8,1000000,100000,0.114103
scaled,9,9000000,100000,1.008121
unscaled,9,1000000,100000,0.113995
scaled,10,10000000,100000,1.795016
unscaled,10,1000000,100000,0.181814
scaled,11,11000000,100000,1.998992
unscaled,11,1000000,100000,0.161081
scaled,12,12000000,100000,2.037731
unscaled,12,1000000,100000,0.173546
scaled,1,10000000,10,4.815124
unscaled,1,10000000,10,4.799466
scaled,2,20000000,10,7.398696
unscaled,2,10000000,10,3.550214
scaled,3,30000000,10,13.909811
unscaled,3,10000000,10,4.590382
scaled,4,40000000,10,17.194708
unscaled,4,10000000,10,4.111689
scaled,5,50000000,10,19.981923
unscaled,5,10000000,10,3.772920
scaled,6,60000000,10,23.951591
unscaled,6,10000000,10,3.975914
scaled,7,70000000,10,26.077246
unscaled,7,10000000,10,3.600182
scaled,8,80000000,10,29.875497
unscaled,8,10000000,10,3.522293
scaled,9,90000000,10,31.507927
unscaled,9,10000000,10,3.452032
scaled,10,100000000,10,31.795321
unscaled,10,10000000,10,3.122007
scaled,11,110000000,10,38.131017
unscaled,11,10000000,10,3.699524
scaled,12,120000000,10,41.925474
unscaled,12,10000000,10,4.012114
scaled,1,10000000,100,4.229803
unscaled,1,10000000,100,4.272548
scaled,2,20000000,100,6.325854
unscaled,2,10000000,100,3.067620
scaled,3,30000000,100,7.662062
unscaled,3,10000000,100,2.426707
scaled,4,40000000,100,9.897947
unscaled,4,10000000,100,2.220100
scaled,5,50000000,100,10.697627
unscaled,5,10000000,100,2.066525
scaled,6,60000000,100,12.343145
unscaled,6,10000000,100,2.040192
scaled,7,70000000,100,13.864150
unscaled,7,10000000,100,1.938641
scaled,8,80000000,100,15.383700
unscaled,8,10000000,100,1.804724
scaled,9,90000000,100,17.365815
unscaled,9,10000000,100,1.815420
scaled,10,100000000,100,18.863224
unscaled,10,10000000,100,2.232215
scaled,11,110000000,100,20.342417
unscaled,11,10000000,100,2.415981
scaled,12,120000000,100,21.724355
unscaled,12,10000000,100,2.476647
scaled,1,10000000,1000,3.879790
unscaled,1,10000000,1000,3.922775
scaled,2,20000000,1000,5.588448
unscaled,2,10000000,1000,2.964202
scaled,3,30000000,1000,6.702736
